filepath,label
..\data\binario\Apto\Atento_01610.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01002.jpg,NoApto
..\data\binario\NoApto\Bostezo_03464.jpg,NoApto
..\data\binario\NoApto\Bostezo_01360.jpg,NoApto
..\data\binario\NoApto\Bostezo_03089.jpg,NoApto
..\data\binario\Apto\Atento_00494.jpg,Apto
..\data\binario\Apto\Atento_00049.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00793.jpg,NoApto
..\data\binario\Apto\Atento_01097.jpg,Apto
..\data\binario\Apto\Atento_03229.jpg,Apto
..\data\binario\Apto\Atento_02395.jpg,Apto
..\data\binario\NoApto\Bostezo_00802.jpg,NoApto
..\data\binario\Apto\Atento_04283.jpg,Apto
..\data\binario\NoApto\Bostezo_02721.jpg,NoApto
..\data\binario\Apto\Atento_01157.jpg,Apto
..\data\binario\Apto\Atento_02801.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01107.jpg,NoApto
..\data\binario\Apto\Atento_01338.jpg,Apto
..\data\binario\Apto\Atento_02868.jpg,Apto
..\data\binario\Apto\Atento_02937.jpg,Apto
..\data\binario\Apto\Atento_02525.jpg,Apto
..\data\binario\Apto\Atento_03523.jpg,Apto
..\data\binario\Apto\Atento_03185.jpg,Apto
..\data\binario\Apto\Atento_02164.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00996.jpg,NoApto
..\data\binario\NoApto\Bostezo_00221.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_01129.jpg,NoApto
..\data\binario\Apto\Atento_02244.jpg,Apto
..\data\binario\NoApto\Bostezo_01945.jpg,NoApto
..\data\binario\Apto\Atento_00653.jpg,Apto
..\data\binario\Apto\Atento_04250.jpg,Apto
..\data\binario\NoApto\Bostezo_03086.jpg,NoApto
..\data\binario\NoApto\Bostezo_01952.jpg,NoApto
..\data\binario\Apto\Atento_03453.jpg,Apto
..\data\binario\Apto\Atento_00486.jpg,Apto
..\data\binario\NoApto\Bostezo_01847.jpg,NoApto
..\data\binario\NoApto\Bostezo_01924.jpg,NoApto
..\data\binario\NoApto\Bostezo_02666.jpg,NoApto
..\data\binario\NoApto\Bostezo_00167.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00256.jpg,NoApto
..\data\binario\NoApto\Bostezo_00921.jpg,NoApto
..\data\binario\NoApto\Bostezo_02322.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_01042.jpg,NoApto
..\data\binario\Apto\Atento_04224.jpg,Apto
..\data\binario\Apto\Atento_00006.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01341.jpg,NoApto
..\data\binario\Apto\Atento_04884.jpg,Apto
..\data\binario\NoApto\Bostezo_00901.jpg,NoApto
..\data\binario\Apto\Atento_01736.jpg,Apto
